model|shuffle|time|usedCC|genCC|lmax|algorithm|solver|difficulty|result
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|5.806697607040405|34|34|4|qx|Sat4j|0|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|3.1141223907470703|12|65|4|pqx|Sat4j|0|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|280.02868580818176|34|34|4|qx|Sat4j|50|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|147.88543033599854|14|65|4|pqx|Sat4j|50|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|557.7213752269745|34|34|4|qx|Sat4j|100|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|293.57746982574463|15|65|4|pqx|Sat4j|100|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|5.774907827377319|34|34|3|qx|Sat4j|0|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|3.5781712532043457|11|48|3|pqx|Sat4j|0|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|283.0181918144226|34|34|3|qx|Sat4j|50|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-0.prod|170.0398063659668|9|48|3|pqx|Sat4j|50|[(1860, [1016]), (1859, [1015]), (1858, [1014]), (1857, [1013]), (1856, [1012]), (1855, [1011]), (1854, [1010]), (1853, [1009]), (1852, [1008]), (1851, [1007]), (1850, [1006]), (1849, [1005]), (1848, [1004]), (1847, [1003]), (1846, [1002]), (1845, [1001])]
